CustomerID,SignupDate,Gender,Age,State,AcquisitionChannel,CampaignName,IsFirstTimeBorrower,ProductUsed,TimeToFirstLoan,TimeOnPlatform,AppDownloads,ReferralCount,LifetimeLoanCount,TotalBorrowedAmount,HasActiveLoan,IsChurned,LastActivityDate,SatisfactionScore,CSATComment,CampaignCostPerUser,ConversionRate,SourceMedium,RevenueGenerated
C1049,2023-09-25,Female,45,Lagos,USSD,,1,BNPL,27,326,0,9,9,875637,0,0,2023-09-28,4.2,Great service,262.58,0.66,facebook/cpc,270973.45
C1050,2023-12-30,Female,34,Lagos,Organic,XmasPush,0,POSLoan,,84,0,4,10,230235,0,1,2023-08-11,3.9,Needs improvement,470.55,0.32,organic/search,170829.11
C1051,2024-04-11,Female,29,Abuja,PaidAds,BackToSchool,0,CashLoan,,224,0,1,10,202205,1,0,2024-03-12,4.2,Too many ads,18.83,0.47,organic/search,297392.66
C1052,2023-12-31,Female,26,Port Harcourt,PaidAds,LoanBlitz,1,CashLoan,44,484,0,8,4,1289412,1,0,2023-12-19,4.9,,380.85,0.27,google/cpc,78010.83
C1053,2023-11-25,Female,37,Ibadan,Referral,BackToSchool,1,POSLoan,35,462,4,4,8,867132,1,1,2023-08-15,1.2,Not intuitive,100.49,0.26,google/cpc,272466.63
C1054,2023-07-03,Female,56,Lagos,Referral,XmasPush,1,POSLoan,13,313,0,3,0,652875,0,1,2023-03-06,1.5,,40.97,0.2,organic/search,74212.79
C1055,2023-10-26,Female,25,Abuja,USSD,NewYearBoost,0,BNPL,,408,0,10,7,919437,0,1,2023-08-03,3.8,,268.53,0.36,organic/search,217729.83
C1056,2024-03-16,Female,54,Kano,Organic,BackToSchool,1,POSLoan,44,16,2,4,0,1214810,0,1,2023-04-17,2.5,Loved it,356.21,0.78,facebook/cpc,181908.09
C1057,2023-12-26,Female,31,Abuja,Partner,BackToSchool,0,WalletOnly,15,207,2,5,6,84404,1,0,2024-05-20,2.6,,140.63,0.45,facebook/cpc,209627.5
C1058,2023-10-26,Male,53,Abuja,Organic,,1,CashLoan,4,402,2,3,8,114815,1,1,2024-06-06,4.0,Great service,75.07,0.57,referral/email,29061.5
C1059,2023-04-15,Male,58,Port Harcourt,Organic,,1,WalletOnly,,21,5,2,2,860945,0,0,2023-08-21,1.5,Loved it,73.38,0.28,google/cpc,42220.66
C1060,2023-05-20,Female,49,Lagos,Partner,LoanBlitz,1,WalletOnly,,24,5,5,12,379160,1,1,2024-04-25,1.2,Loved it,351.79,0.73,referral/email,67272.08
C1061,2024-03-01,Female,34,Lagos,Partner,NewYearBoost,1,WalletOnly,,408,1,7,0,1110908,1,1,2024-05-18,1.4,,344.1,0.1,organic/search,18651.3
C1062,2023-05-09,Female,55,Lagos,Organic,XmasPush,0,POSLoan,49,175,1,4,5,60917,1,1,2023-09-14,2.7,Great service,107.01,0.27,partner/direct,163757.02
C1063,2024-01-04,Male,23,Abuja,PaidAds,XmasPush,0,BNPL,48,140,3,10,11,113478,0,1,2024-04-04,2.5,,224.98,0.32,facebook/cpc,12462.65
C1064,2024-03-11,Female,42,Lagos,USSD,NewYearBoost,0,BNPL,,191,0,1,3,155752,0,0,2024-05-25,3.0,Loved it,197.06,0.15,google/cpc,266088.15
C1065,2023-04-10,Male,29,Abuja,Partner,BackToSchool,0,BNPL,52,430,1,10,10,509569,0,1,2023-12-31,1.5,Loved it,415.21,0.58,google/cpc,229121.58
C1066,2023-12-17,Female,47,Kano,Organic,NewYearBoost,0,POSLoan,34,230,1,6,4,225952,1,1,2024-06-23,4.3,Not intuitive,3.16,0.76,partner/direct,297940.81
C1067,2023-07-14,Female,49,Lagos,Partner,BackToSchool,1,BNPL,4,400,4,8,3,62931,0,0,2023-08-04,2.1,,97.49,0.19,organic/search,197458.0
C1068,2024-03-12,Female,35,Lagos,USSD,LoanBlitz,1,WalletOnly,,491,0,2,10,365752,1,1,2023-05-04,3.8,,253.84,0.7,referral/email,32806.63
C1069,2023-10-07,Male,22,Lagos,Referral,,0,CashLoan,14,155,5,3,2,554658,0,1,2024-05-20,4.9,Great service,486.21,0.31,organic/search,236268.11
C1070,2023-07-16,Female,27,Kano,Organic,BackToSchool,1,CashLoan,,138,3,8,6,30205,0,1,2023-07-02,1.3,Loved it,482.14,0.76,organic/search,77056.68
C1071,2023-03-07,Male,45,Ibadan,Referral,XmasPush,0,CashLoan,,300,2,9,4,1023989,0,1,2024-05-08,4.5,Needs improvement,427.4,0.86,partner/direct,216688.74
C1072,2023-04-10,Female,26,Port Harcourt,Referral,NewYearBoost,1,BNPL,,128,2,1,10,704395,0,0,2023-01-13,1.4,,423.78,0.89,referral/email,182830.27
C1073,2023-10-24,Female,52,Ibadan,Organic,BackToSchool,0,CashLoan,39,466,2,10,12,385831,0,1,2024-05-15,3.8,Needs improvement,351.02,0.23,google/cpc,138492.68
C1074,2023-06-30,Male,24,Abuja,USSD,,1,WalletOnly,,180,4,9,2,192861,0,1,2023-12-19,4.3,Not intuitive,83.66,0.08,referral/email,70195.41
C1075,2024-01-05,Male,51,Kano,USSD,XmasPush,0,POSLoan,,135,4,3,6,941117,1,0,2023-11-20,2.7,Too many ads,326.47,0.47,facebook/cpc,200410.33
C1076,2023-04-16,Female,38,Port Harcourt,Referral,LoanBlitz,0,WalletOnly,30,243,5,8,5,428462,1,0,2024-05-13,1.5,Loved it,232.15,0.59,facebook/cpc,60310.4
C1077,2023-12-21,Female,21,Kano,Partner,BackToSchool,1,POSLoan,,198,3,5,7,923067,1,0,2023-02-16,1.8,Too many ads,167.72,0.45,referral/email,22081.82
C1078,2024-05-04,Male,56,Port Harcourt,PaidAds,BackToSchool,1,POSLoan,,255,1,1,12,892597,1,0,2024-03-27,4.0,,327.92,0.62,facebook/cpc,164469.2
C1079,2024-05-18,Female,39,Kano,USSD,XmasPush,1,BNPL,,280,0,1,12,193025,0,0,2023-08-24,3.1,Great service,152.77,0.75,organic/search,94822.22
C1080,2023-10-20,Male,48,Lagos,USSD,XmasPush,0,POSLoan,15,412,5,1,7,921108,1,1,2023-01-18,2.8,Needs improvement,432.43,0.61,referral/email,28634.26
C1081,2024-03-28,Female,42,Ibadan,Organic,LoanBlitz,1,POSLoan,43,276,4,0,4,1172414,1,1,2024-01-18,1.6,Needs improvement,389.36,0.46,referral/email,165298.57
C1082,2023-03-06,Female,47,Ibadan,Organic,NewYearBoost,0,CashLoan,15,244,5,8,8,1042287,1,1,2023-08-28,1.3,Great service,90.82,0.51,facebook/cpc,294778.95
C1083,2024-02-15,Male,26,Kano,Organic,NewYearBoost,1,CashLoan,48,203,5,3,2,1209425,1,0,2023-08-31,4.1,Great service,292.75,0.69,referral/email,87410.71
C1084,2023-02-13,Male,27,Port Harcourt,Partner,,0,BNPL,,403,4,5,12,1456027,0,1,2024-01-05,1.9,,402.65,0.56,google/cpc,107989.16
C1085,2023-02-14,Female,19,Ibadan,PaidAds,LoanBlitz,0,WalletOnly,,83,5,5,11,858953,0,0,2023-12-03,1.6,Great service,425.02,0.16,facebook/cpc,148431.99
C1086,2023-01-23,Female,43,Abuja,Partner,,1,POSLoan,41,241,3,2,5,953278,1,1,2023-03-29,3.0,Not intuitive,144.29,0.33,google/cpc,98524.06
C1087,2023-05-30,Female,35,Kano,PaidAds,BackToSchool,0,WalletOnly,,311,5,6,10,91201,0,0,2024-03-18,4.4,Too many ads,114.86,0.15,google/cpc,215154.59
C1088,2023-06-18,Female,36,Abuja,Organic,LoanBlitz,0,WalletOnly,31,496,0,1,4,648661,0,1,2024-04-24,1.9,Great service,365.87,0.49,partner/direct,9332.85
C1089,2023-05-10,Male,25,Port Harcourt,Partner,,0,POSLoan,,385,3,8,11,543551,0,0,2023-05-24,2.8,Needs improvement,358.19,0.56,facebook/cpc,55088.46
C1090,2023-07-27,Female,56,Port Harcourt,Referral,NewYearBoost,0,BNPL,,401,0,7,3,1238931,1,1,2023-10-26,2.0,Great service,207.58,0.81,referral/email,269987.78
C1091,2024-02-03,Male,43,Lagos,Organic,XmasPush,0,BNPL,,267,4,4,0,58234,0,0,2024-03-12,1.9,,363.32,0.19,referral/email,286187.66
C1092,2024-05-11,Male,18,Kano,Organic,LoanBlitz,0,POSLoan,1,60,2,8,4,997905,0,1,2023-11-02,3.0,Too many ads,240.69,0.69,facebook/cpc,886.21
C1093,2023-02-06,Male,26,Lagos,PaidAds,NewYearBoost,1,POSLoan,,256,0,5,8,535876,1,1,2024-03-08,1.1,,5.48,0.32,facebook/cpc,154273.96
C1094,2024-03-22,Male,41,Ibadan,Organic,BackToSchool,1,POSLoan,26,270,2,3,10,914858,1,1,2024-02-28,3.0,Loved it,227.03,0.53,organic/search,182943.41
C1095,2024-01-21,Male,50,Ibadan,USSD,NewYearBoost,1,POSLoan,,467,5,7,1,1470408,0,0,2023-03-15,1.7,Not intuitive,153.8,0.8,organic/search,210297.71
C1096,2023-10-07,Male,18,Ibadan,PaidAds,LoanBlitz,1,WalletOnly,25,436,5,3,2,1271659,1,0,2023-08-30,3.2,,310.84,0.06,referral/email,98653.95
C1097,2023-12-02,Male,27,Abuja,USSD,LoanBlitz,0,WalletOnly,17,200,4,7,10,878059,1,1,2023-08-18,1.7,Needs improvement,489.41,0.14,partner/direct,191969.06
C1098,2023-03-14,Female,57,Port Harcourt,Referral,NewYearBoost,1,WalletOnly,,446,2,3,6,14683,1,1,2023-02-08,3.9,Too many ads,387.25,0.25,organic/search,1082.7
C1099,2024-05-09,Female,21,Kano,USSD,LoanBlitz,1,CashLoan,,359,2,7,4,717812,0,1,2023-11-03,4.8,,412.25,0.88,referral/email,75215.34
C1100,2023-03-29,Female,59,Port Harcourt,Partner,,0,CashLoan,2,55,0,8,1,882507,1,1,2023-12-10,2.5,Too many ads,212.38,0.21,organic/search,288878.94
C1101,2023-04-29,Male,58,Lagos,Partner,XmasPush,1,BNPL,,127,2,2,3,680630,1,0,2024-05-09,2.1,Too many ads,92.55,0.25,organic/search,234985.53
C1102,2024-02-20,Female,40,Abuja,USSD,LoanBlitz,1,BNPL,,228,0,2,3,615613,1,1,2023-06-27,3.7,Needs improvement,242.26,0.36,referral/email,128798.91
C1103,2023-01-31,Female,23,Port Harcourt,Organic,,0,WalletOnly,,133,2,6,7,737535,1,1,2023-06-16,2.6,,201.35,0.16,referral/email,199785.04
C1104,2023-02-27,Male,51,Ibadan,Referral,BackToSchool,1,BNPL,37,425,2,9,7,285785,0,1,2023-07-28,5.0,Not intuitive,379.25,0.83,organic/search,23506.04
C1105,2023-04-30,Female,43,Lagos,Organic,XmasPush,0,BNPL,,152,0,1,6,950010,0,1,2023-07-03,1.2,Needs improvement,314.49,0.08,organic/search,219923.79
C1106,2023-06-30,Female,36,Lagos,Referral,XmasPush,1,BNPL,15,78,3,6,2,1357170,1,0,2023-03-03,2.7,Needs improvement,460.12,0.48,referral/email,56126.12
C1107,2023-07-28,Male,43,Abuja,Referral,,1,WalletOnly,21,327,0,2,6,838733,0,1,2024-05-31,1.7,Loved it,177.87,0.06,facebook/cpc,152312.16
C1108,2024-01-18,Female,21,Lagos,Partner,,0,BNPL,,186,5,5,3,929008,0,0,2024-02-16,2.9,Loved it,226.16,0.18,partner/direct,249594.13
C1109,2024-05-24,Female,45,Abuja,PaidAds,NewYearBoost,0,BNPL,39,116,3,4,1,1078132,0,0,2024-05-13,4.4,,424.99,0.39,organic/search,296530.96
C1110,2023-10-07,Male,24,Abuja,PaidAds,XmasPush,1,CashLoan,46,22,1,2,12,487990,1,0,2023-07-04,1.6,Needs improvement,346.38,0.58,referral/email,234475.35
C1111,2023-04-15,Male,26,Ibadan,Organic,NewYearBoost,0,CashLoan,29,177,5,6,2,707783,0,1,2023-03-02,2.3,Great service,101.07,0.41,organic/search,187133.77
C1112,2024-03-05,Male,43,Abuja,USSD,BackToSchool,1,POSLoan,,392,4,1,0,833507,0,0,2023-11-10,3.9,Great service,71.89,0.12,partner/direct,282655.42
C1113,2023-10-12,Male,56,Lagos,Referral,NewYearBoost,0,WalletOnly,,126,1,7,8,275409,0,0,2024-04-21,2.5,Needs improvement,282.79,0.62,facebook/cpc,15598.99
C1114,2024-01-17,Female,25,Abuja,Organic,LoanBlitz,1,WalletOnly,,304,1,1,9,465548,0,1,2023-06-15,1.3,Great service,46.23,0.06,organic/search,35506.13
C1115,2023-10-19,Male,57,Kano,Referral,NewYearBoost,1,POSLoan,32,342,5,8,5,687488,1,0,2023-10-18,2.1,Great service,75.65,0.73,facebook/cpc,185563.25
C1116,2023-04-06,Male,22,Abuja,Partner,LoanBlitz,1,BNPL,12,329,2,7,7,98968,1,0,2023-01-02,2.7,Needs improvement,207.31,0.15,referral/email,89110.08
C1117,2023-11-10,Female,57,Ibadan,Referral,LoanBlitz,1,BNPL,,383,5,7,10,625228,1,0,2023-10-24,3.7,Great service,115.2,0.13,referral/email,187931.12
C1118,2023-01-02,Male,46,Kano,Referral,,1,WalletOnly,42,353,4,0,5,110925,1,0,2024-04-20,2.9,,226.21,0.58,referral/email,9505.79
C1119,2023-10-23,Female,24,Port Harcourt,Referral,XmasPush,1,POSLoan,,54,1,7,1,1218612,1,1,2023-10-29,3.9,Great service,176.74,0.35,referral/email,142141.33
C1120,2023-03-08,Female,53,Abuja,Referral,LoanBlitz,1,BNPL,,78,4,2,3,456742,1,1,2024-05-03,4.8,Great service,309.46,0.39,referral/email,58321.89
C1121,2023-08-13,Male,20,Lagos,Organic,XmasPush,0,CashLoan,,141,2,0,10,48000,1,1,2024-04-26,2.1,Not intuitive,198.54,0.08,facebook/cpc,206907.84
C1122,2023-10-10,Male,21,Port Harcourt,PaidAds,XmasPush,1,CashLoan,,485,1,9,6,1166224,0,1,2023-11-30,3.2,,247.21,0.37,google/cpc,45352.33
C1123,2023-08-19,Male,43,Ibadan,PaidAds,XmasPush,0,WalletOnly,55,311,4,2,6,459558,0,1,2023-05-18,4.8,Too many ads,66.11,0.1,partner/direct,142619.14
C1124,2023-09-12,Female,58,Kano,Partner,LoanBlitz,1,BNPL,5,425,3,2,6,802881,1,1,2023-05-21,4.8,Too many ads,457.4,0.38,partner/direct,142493.92
C1125,2024-02-01,Male,51,Ibadan,Referral,,1,CashLoan,21,125,0,2,2,796888,1,1,2023-09-10,2.4,,134.74,0.37,partner/direct,173205.08
C1126,2023-05-24,Female,47,Lagos,Organic,NewYearBoost,0,CashLoan,28,68,2,10,0,366089,1,0,2024-04-21,4.3,,379.01,0.7,partner/direct,53151.85
C1127,2024-05-01,Male,46,Lagos,Partner,LoanBlitz,1,CashLoan,,213,4,2,1,1211843,0,0,2024-02-10,4.0,Too many ads,279.09,0.54,facebook/cpc,249922.03
C1128,2024-01-05,Female,32,Kano,Organic,NewYearBoost,1,WalletOnly,49,250,3,4,0,554612,1,1,2024-01-26,3.3,Not intuitive,250.35,0.8,referral/email,216213.31
C1129,2024-01-09,Male,23,Port Harcourt,Referral,,0,BNPL,35,77,2,10,5,411019,0,1,2023-10-18,2.2,Too many ads,353.19,0.84,google/cpc,208846.82
C1130,2023-06-30,Female,38,Abuja,USSD,,1,WalletOnly,,10,4,7,11,482037,0,0,2023-01-29,2.2,Not intuitive,213.15,0.16,referral/email,222871.05
C1131,2023-08-11,Male,38,Kano,PaidAds,,1,POSLoan,,190,5,0,12,210340,1,0,2024-03-25,2.3,Loved it,319.87,0.79,organic/search,5690.46
C1132,2023-01-09,Female,36,Port Harcourt,PaidAds,,0,WalletOnly,50,312,4,10,1,419639,1,0,2023-02-12,4.8,Great service,405.7,0.89,google/cpc,41478.9
C1133,2023-05-27,Female,57,Port Harcourt,Partner,,0,POSLoan,27,457,5,7,8,138510,1,1,2023-09-08,4.5,,278.38,0.61,google/cpc,144543.06
C1134,2023-05-26,Female,46,Ibadan,PaidAds,NewYearBoost,1,CashLoan,,194,1,9,1,80911,1,0,2023-10-16,2.2,Great service,448.73,0.15,google/cpc,154486.26
C1135,2023-02-28,Female,39,Lagos,Referral,,1,CashLoan,6,103,3,0,2,1195151,1,0,2024-05-21,2.7,Loved it,494.66,0.83,facebook/cpc,174335.84
C1136,2023-10-18,Male,47,Kano,PaidAds,BackToSchool,0,CashLoan,9,219,5,5,3,980533,0,0,2024-02-11,3.0,Great service,172.88,0.08,google/cpc,107875.88
C1137,2023-01-02,Female,37,Lagos,PaidAds,LoanBlitz,1,POSLoan,,352,1,1,3,567880,0,0,2024-04-23,3.5,Too many ads,442.28,0.1,facebook/cpc,88114.93
C1138,2023-04-17,Male,49,Ibadan,Organic,BackToSchool,1,CashLoan,38,219,3,6,2,1317313,1,0,2023-06-20,5.0,Loved it,254.31,0.25,google/cpc,86073.6
C1139,2023-03-06,Female,29,Ibadan,USSD,LoanBlitz,1,POSLoan,,160,4,0,3,1307022,1,0,2024-02-15,3.1,,406.71,0.57,referral/email,189095.51
C1140,2023-06-22,Female,39,Ibadan,Organic,NewYearBoost,0,WalletOnly,0,198,0,6,3,338101,0,0,2023-11-29,1.3,Great service,467.24,0.53,google/cpc,184796.03
C1141,2023-01-20,Female,58,Lagos,Referral,NewYearBoost,1,BNPL,,235,1,1,12,165712,0,0,2023-06-24,4.0,Great service,164.55,0.33,referral/email,163357.54
C1142,2023-10-31,Male,49,Abuja,Referral,,0,CashLoan,,154,3,7,4,1318283,0,1,2023-05-17,3.9,,121.73,0.69,facebook/cpc,174513.27
C1143,2023-02-18,Male,51,Ibadan,Partner,,0,CashLoan,,280,0,0,9,620981,0,0,2023-03-20,2.5,,269.54,0.79,referral/email,208681.22
C1144,2023-01-18,Male,25,Kano,PaidAds,NewYearBoost,0,BNPL,,211,4,2,9,417394,1,1,2024-01-25,4.8,Not intuitive,344.33,0.45,partner/direct,274585.68
C1145,2023-10-28,Male,45,Kano,USSD,LoanBlitz,1,WalletOnly,,163,4,10,1,599161,1,1,2023-04-15,2.3,Too many ads,370.42,0.25,facebook/cpc,49817.67
C1146,2024-01-13,Male,48,Kano,Partner,XmasPush,0,WalletOnly,,47,2,8,12,1496700,1,0,2023-04-29,3.9,,379.21,0.89,referral/email,295450.13
C1147,2023-11-14,Male,60,Kano,USSD,NewYearBoost,0,BNPL,58,319,1,7,10,841133,1,1,2023-12-21,2.1,Loved it,483.25,0.19,facebook/cpc,29951.58
C1148,2023-03-22,Male,37,Abuja,USSD,XmasPush,0,WalletOnly,18,26,1,2,5,1028870,0,1,2023-05-20,1.9,Needs improvement,481.79,0.39,organic/search,153667.42
